Directory Name,R0_Ln,R0_Lt,tau_ad,eps_r,q_0,s_hat,Nref,Lref,Tref,time evo. trend,averaged Q,std Q
case00000001,2.22,6.92,1.0,0.18,1.4,-0.44210951,4.5e+19,1.7,2.0,oscillating,21.069968384417635,2.138868788728317
case00000002,2.22,6.92,1.0,0.18,1.4,-0.575513733,4.5e+19,1.7,2.0,oscillating,18.05211536467069,2.489177118693565
case00000003,2.22,6.92,1.0,0.18,1.4,-0.0323642127,4.5e+19,1.7,2.0,oscillating,79.8261671322471,3.0274095147516857
case00000005,2.22,6.92,1.0,0.18,1.4,0.506598949,4.5e+19,1.7,2.0,oscillating,33.53873335379066,8.342115434672808
case00000006,2.22,6.92,1.0,0.18,1.4,-0.170980394,4.5e+19,1.7,2.0,oscillating,28.375757666987088,3.4385369048583216
case00000007,2.22,6.92,1.0,0.18,1.4,0.981845016,4.5e+19,1.7,2.0,oscillating,25.514869022951505,5.901886248418531
case00000009,2.22,6.92,1.0,0.18,1.4,-0.206516249,4.5e+19,1.7,2.0,oscillating,25.272037741675042,2.6404287702593803
case00000010,2.22,6.92,1.0,0.18,1.4,1.39005889,4.5e+19,1.7,2.0,oscillating,6.377031397791367,1.6745962337468485
case00000011,2.22,6.92,1.0,0.18,1.4,-0.976717189,4.5e+19,1.7,2.0,oscillating,6.486993171099603,6.386123204976431
case00000012,2.22,6.92,1.0,0.18,1.4,0.221764123,4.5e+19,1.7,2.0,oscillating,34.75177795245771,6.931651881384772
case00000013,2.22,6.92,1.0,0.18,1.4,0.744971055,4.5e+19,1.7,2.0,oscillating,31.02686745992719,6.224169845986006
case00000015,2.22,6.92,1.0,0.18,1.4,1.19674148,4.5e+19,1.7,2.0,oscillating,11.29092906757472,1.9966342313933512
case00000016,2.22,6.92,1.0,0.18,1.4,-0.763354317,4.5e+19,1.7,2.0,oscillating,12.393353195994186,4.036174477667416
case00000018,2.22,6.92,1.0,0.18,1.4,0.366803267,4.5e+19,1.7,2.0,oscillating,35.513755976882955,8.030497606872421
case00000019,2.22,6.92,1.0,0.18,1.4,0.0958450983,4.5e+19,1.7,2.0,oscillating,37.73024357664566,4.08511230888101
case00000020,2.22,6.92,1.0,0.18,1.4,0.859122353,4.5e+19,1.7,2.0,oscillating,28.32326749306574,6.096578986607821
case00000022,2.22,6.92,1.0,0.18,1.4,0.607792923,4.5e+19,1.7,2.0,oscillating,34.36985157059715,7.33531221740415
case00000023,2.22,6.92,1.0,0.18,1.4,-0.862912797,4.5e+19,1.7,2.0,oscillating,12.00324412734054,9.895794785499547
case00000024,2.22,6.92,1.0,0.18,1.4,1.4846676,4.5e+19,1.7,2.0,oscillating,7.977947905568517,1.565025370734348
case00000025,2.22,6.92,1.0,0.18,1.4,-0.667399164,4.5e+19,1.7,2.0,oscillating,16.468376156647558,3.2105864278171143
case00000026,2.22,6.92,1.0,0.18,1.4,1.08858055,4.5e+19,1.7,2.0,oscillating,19.839695445522302,2.716407049031377
case00000027,2.22,6.92,1.0,0.18,1.4,-0.287068639,4.5e+19,1.7,2.0,oscillating,25.65833470707663,2.8350191046262307
case00000028,2.22,6.92,1.0,0.18,1.4,1.27451952,4.5e+19,1.7,2.0,oscillating,5.623872737564765,1.622592461587064
case00000029,2.22,6.92,1.0,0.18,1.4,-0.508302056,4.5e+19,1.7,2.0,oscillating,19.24663305149525,2.134136044764345
case00000030,2.22,6.92,1.0,0.18,1.4,0.286123351,4.5e+19,1.7,2.0,oscillating,37.169200394943445,6.454640237888867
case00000031,2.22,6.92,1.0,0.18,1.4,-0.100052097,4.5e+19,1.7,2.0,oscillating,31.497898477741852,3.505591482615541
case00000032,2.22,6.92,1.0,0.18,1.4,0.0310947255,4.5e+19,1.7,2.0,oscillating,91.28201165402369,4.051906720681159
case00000033,2.22,6.92,1.0,0.18,1.4,0.146928678,4.5e+19,1.7,2.0,oscillating,37.7677748269072,5.441462234806948
case00000034,2.22,6.92,1.0,0.18,1.4,-0.0653907412,4.5e+19,1.7,2.0,oscillating,37.280409600090294,2.9229816941683424
case00000035,2.22,6.92,1.0,0.18,1.4,0.181963963,4.5e+19,1.7,2.0,oscillating,36.63040582441122,6.6326567346677745
case00000036,2.22,6.92,1.0,0.18,1.4,0.0627846179,4.5e+19,1.7,2.0,oscillating,43.69370251562948,4.091286325885137
case00000038,2.22,6.92,1.0,0.18,1.4,0.249090046,4.5e+19,1.7,2.0,oscillating,39.60880461256109,6.329320698181946
