rho,n(10^19m-3),R/Ln,Te(keV),R/LTe,Ti(keV),R/LTi,q_0,s_hat,gamma/ky^2,zfdt,Qe_qslmodel,Qi_qslmodel,Gamma_qslmodel,Qe_nlnr,Qi_nlnr,Gamma_nlnr
0.46,1.2436,-0.51928,2.9416,4.5804,2.923,7.9322,2.1956,-0.5272927450178925,0.8,2.6,21.0,70.0,4.1,12.0,50.0,0.67
0.5,1.2486,-0.72958,2.8502,5.3065,2.7717,8.7514,2.0927,-0.627270691185617,1.1,2.5,27.0,93.0,6.7,21.0,71.0,0.55
0.54,1.2551,-0.90278,2.7479,6.1269,2.6143,9.6056,1.9858,-0.7365273995038858,1.6,2.5,34.0,100.0,2.0001,32.0,110.0,-0.29
0.58,1.2628,-1.0063,2.6346,7.0567,2.4521,10.498,1.8764,-0.8527457897042171,2.1,2.4,37.0,100.0,1.022,38.0,110.0,-1.0
0.62,1.271,-1.002,2.5099,8.1142,2.2867,11.433,1.7655,-0.9760579942270533,2.6,2.1,62.0,17.0,-0.34,69.0,190.0,-3.1
0.65,1.2769,-0.90183,2.409,9.0047,2.1613,12.164,1.682,-1.0765409277768447,3.1,2.2,62.0,170.0,-0.9,70.0,220.0,-5.5
0.68,1.2818,-0.69537,2.3017,9.9917,2.0356,12.922,1.5986,-1.18071825163559,3.5,2.1,77.0,200.0,-3.1,71.0,230.0,-8.1
0.72,1.2857,-0.2125,2.1491,11.483,1.8684,13.976,1.4879,-1.333694542336518,4.4,1.9,100.0,250.0,-5.5,120.0,360.0,-14.0
0.76,1.2845,0.57186,1.986,13.216,1.7033,15.081,1.3784,-1.4996578489105856,5.3,1.6,180.0,530.0,-10.0,200.0,490.0,-13.0
0.8,1.2753,1.7485,1.8135,15.248,1.5416,16.235000000000003,1.2703,-1.689404925352956,6.5,1.5,320.0,750.0,-22.0,300.0,670.0,-19.0
